Card1,Card2,Suited,2,3,4,5,6,7,8,9
A,A,N,85,73,64,56,49,43,39,31
K,K,N,82,69,58,50,43,38,33,29
Q,Q,N,80,65,54,45,38,33,28,25
J,J,N,78,61,49,40,34,29,25,22
10,10,N,75,58,45,36,30,25,22,19
9,9,N,72,54,41,33,26,22,19,17
8,8,N,69,50,38,29,24,20,18,16
7,7,N,66,46,34,26,21,19,16,15
6,6,N,63,43,32,25,20,17,15,14
5,5,N,60,40,29,22,19,16,14,13
4,4,N,57,37,25,21,17,15,14,13
3,3,N,54,34,24,19,16,15,14,13
2,2,N,50,31,22,18,16,14,13,13
A,K,N,65,48,39,32,28,24,22,19
A,Q,N,64,47,37,30,26,23,20,18
A,J,N,64,46,35,29,24,21,18,16
A,10,N,63,44,34,28,23,20,17,15
A,9,N,61,42,31,25,20,17,15,13
A,8,N,60,41,30,24,19,16,14,12
A,7,N,59,39,28,22,18,15,13,11
A,6,N,58,38,28,21,17,14,12,11
A,5,N,58,38,28,21,17,14,12,11
A,4,N,56,37,27,21,17,14,12,11
A,3,N,56,36,26,20,17,14,12,10
A,2,N,55,35,25,20,16,14,12,10
K,Q,N,61,44,35,29,25,21,19,17
K,J,N,61,43,34,28,24,20,18,16
K,10,N,60,42,33,27,22,19,17,15
K,9,N,58,40,30,24,20,17,14,12
K,8,N,56,37,27,21,17,15,13,11
K,7,N,55,36,26,21,17,14,12,10
K,6,N,54,35,25,20,16,13,11,10
K,5,N,53,34,25,19,15,13,11,10
K,4,N,52,33,23,18,15,12,11,9
K,3,N,51,32,23,18,14,12,10,9
K,2,N,50,31,22,17,14,12,10,9
Q,J,N,58,41,33,27,23,20,17,15
Q,10,N,57,40,31,26,22,19,16,14
Q,9,N,56,38,29,23,19,16,14,12
Q,8,N,54,35,26,21,17,14,12,11
Q,7,N,52,33,24,19,15,13,11,9
Q,6,N,51,32,23,18,14,12,10,9
Q,5,N,50,31,20,17,14,12,10,9
Q,4,N,49,30,21,16,13,11,9,8
Q,3,N,48,29,21,16,13,11,9,8
Q,2,N,47,28,20,15,12,10,9,8
J,10,N,55,39,31,25,22,19,16,15
J,9,N,53,37,28,23,19,16,14,12
J,8,N,52,34,26,20,17,14,12,11
J,7,N,50,32,24,18,15,12,11,9
J,6,N,48,30,21,17,13,11,9,8
J,5,N,47,29,21,16,13,11,9,8
J,4,N,46,28,20,15,12,10,9,8
J,3,N,45,27,19,15,12,10,8,7
J,2,N,44,26,18,14,11,9,8,7
10,9,N,52,32,28,23,19,16,14,13
10,8,N,50,34,25,20,17,14,13,11
10,7,N,48,31,23,18,15,13,11,10
10,6,N,46,29,21,17,13,11,10,8
10,5,N,44,27,19,15,12,10,8,7
10,4,N,43,26,19,14,12,10,8,7
10,3,N,42,26,18,14,11,9,8,7
10,2,N,42,25,17,13,11,9,8,7
9,8,N,48,33,25,20,17,14,12,11
9,7,N,47,31,23,18,16,13,11,10
9,6,N,45,29,21,17,14,11,10,9
9,5,N,43,27,19,15,12,10,9,7
9,4,N,41,25,17,13,11,9,7,6
9,3,N,40,24,17,13,10,8,7,6
9,2,N,39,23,16,12,10,8,7,6
8,7,N,46,31,23,19,15,13,12,10
8,6,N,44,29,21,17,14,12,10,9
8,5,N,42,27,19,15,12,11,9,8
8,4,N,40,24,18,13,11,9,8,7
8,3,N,38,22,16,12,10,8,7,6
8,2,N,37,22,15,11,9,8,6,6
7,6,N,43,29,22,17,14,12,11,10
7,5,N,41,27,20,16,13,11,10,9
7,4,N,38,25,18,14,11,10,9,8
7,3,N,37,22,16,12,10,8,7,6
7,2,N,35,20,14,11,9,7,6,5
6,5,N,40,27,20,16,13,12,10,9
6,4,N,38,25,18,14,12,10,9,8
6,3,N,36,23,16,13,11,9,8,7
6,2,N,34,21,15,11,9,8,7,6
5,4,N,38,25,19,15,13,11,10,9
5,3,N,36,23,17,14,11,10,9,8
5,2,N,34,21,15,12,10,9,8,7
4,3,N,34,22,16,13,11,9,8,8
4,2,N,33,21,15,12,10,8,7,7
3,2,N,31,20,14,11,9,8,7,6
A,K,y,67,51,41,35,31,28,25,23
K,Q,y,63,47,38,33,28,25,23,20
Q,J,y,60,44,36,30,26,23,21,19
J,10,y,58,42,34,29,25,22,20,18
10,9,y,54,39,31,26,23,20,18,16
9,8,y,51,36,29,24,20,18,16,15
8,7,y,48,34,27,22,19,17,15,14
7,6,y,46,32,25,21,18,16,14,13
6,5,y,43,30,24,20,17,15,14,13
5,4,y,41,29,23,19,17,15,14,13
4,3,y,38,26,20,17,15,13,12,11
3,2,y,35,24,18,15,13,12,11,10